file_name,file_path,file_size,report_id,branch_code,branch_name,process_date,detected_format,detected_report_type,confidence,status,reason
InterestRateChangeLoans-cfpd0337.txt.gz,..\data\incoming\20250425\00001\InterestRateChangeLoans-cfpd0337.txt.gz,315,SY0337-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID SY0337-01 detected"
Irregular_excess_draw_lond2397CPC.txt.gz,..\data\incoming\20250425\00001\Irregular_excess_draw_lond2397CPC.txt.gz,4931,BR2397-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.94,READY,"Delimiter '|' found consistently, and REPORT_ID BR2397-01 detected"
LIST_OF_NPA_ACCOUNTS.txt.gz,..\data\incoming\20250425\00001\LIST_OF_NPA_ACCOUNTS.txt.gz,498,NPALIST1,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID NPALIST1 detected"
LoansBalanceFile-lond2390.txt.gz,..\data\incoming\20250425\00001\LoansBalanceFile-lond2390.txt.gz,29553,BR2390-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2390-01 detected"
LOANS_SANCTION_LETTER_FOR_AC402000294534.txt.gz,..\data\incoming\20250425\00001\LOANS_SANCTION_LETTER_FOR_AC402000294534.txt.gz,686,,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.8,REVIEW,Delimiter ':' found consistently
LOAN_IRREGULAR_REPORT.txt.gz,..\data\incoming\20250425\00001\LOAN_IRREGULAR_REPORT.txt.gz,17293,BR2490-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2490-01 detected"
LON_Shadow_file.txt.gz,..\data\incoming\20250425\00001\LON_Shadow_file.txt.gz,54200,,,,,FIXED_WIDTH,FIXED_WIDTH,0.95,READY,Structure matched FIXED_WIDTH
non_home_branch_cifd0363.txt.gz,..\data\incoming\20250425\00001\non_home_branch_cifd0363.txt.gz,4257,SY0363-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID SY0363-01 detected"
NPA_STMT.txt.gz,..\data\incoming\20250425\00001\NPA_STMT.txt.gz,485,NPAD0001,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID NPAD0001 detected"
Overdue_Notice_lond2384.txt.gz,..\data\incoming\20250425\00001\Overdue_Notice_lond2384.txt.gz,655,,,,25-04-2025,DELIMITED,DELIMITED,0.7,REVIEW,Delimiter ':' found consistently
Probable_NPA_Report_lond2463.txt.gz,..\data\incoming\20250425\00001\Probable_NPA_Report_lond2463.txt.gz,310,BR2463-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2463-01 detected"
Report_High_Value_Transactions.txt.gz,..\data\incoming\20250425\00001\Report_High_Value_Transactions.txt.gz,338,BR2599-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2599-01 detected"
Report_Maturing_Securities_lond2443.txt.gz,..\data\incoming\20250425\00001\Report_Maturing_Securities_lond2443.txt.gz,282,BR2443-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2443-01 detected"
RUPEE_DRAWING_LIST_cfpd0388.txt.gz,..\data\incoming\20250425\00001\RUPEE_DRAWING_LIST_cfpd0388.txt.gz,564,SY0388-01,1,HEAD OFFICE,25-04-2025,UNKNOWN,UNKNOWN,0,UNKNOWN,No clear structure or delimiter detected
Supplimentary_control_gend7484.txt.gz,..\data\incoming\20250425\00001\Supplimentary_control_gend7484.txt.gz,950,GN7484,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GN7484 detected"
Supplimentary_control_gend7516.txt.gz,..\data\incoming\20250425\00001\Supplimentary_control_gend7516.txt.gz,1584,GN7516,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GN7516 detected"
Supplimentary_report_gend7484.txt.gz,..\data\incoming\20250425\00001\Supplimentary_report_gend7484.txt.gz,6629,GN7484,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GN7484 detected"
Transfer_Supplementary_gend7484.txt.gz,..\data\incoming\20250425\00001\Transfer_Supplementary_gend7484.txt.gz,6082,GN7484,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GN7484 detected"
Transfer_Supplementary_gend7516.txt.gz,..\data\incoming\20250425\00001\Transfer_Supplementary_gend7516.txt.gz,6533,GN7516,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GN7516 detected"
Voucher_varification_report_cfpd0331.txt.gz,..\data\incoming\20250425\00001\Voucher_varification_report_cfpd0331.txt.gz,5289,SY0331-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID SY0331-01 detected"
Voucher_varification_report_cfpd0344.txt.gz,..\data\incoming\20250425\00001\Voucher_varification_report_cfpd0344.txt.gz,4344,SY0344-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID SY0344-01 detected"
